benchmark	instance	tokens
swebench-verified	psf__requests-5414	80595
swebench-verified	psf__requests-6028	80723
swebench-verified	pallets__flask-5014	126338
swebench-verified	psf__requests-1142	300486
swebench-verified	psf__requests-1724	321215
swebench-verified	psf__requests-1766	322349
swebench-verified	psf__requests-1921	327580
swebench-verified	psf__requests-2317	336048
swebench-verified	psf__requests-2931	348094
swebench-verified	pytest-dev__pytest-5631	439801
swebench-verified	pytest-dev__pytest-5262	441300
swebench-verified	pytest-dev__pytest-5787	445201
swebench-verified	pytest-dev__pytest-5840	446904
swebench-verified	pytest-dev__pytest-5809	449644
swebench-verified	pytest-dev__pytest-6202	451973
swebench-verified	pytest-dev__pytest-6197	451997
swebench-verified	mwaskom__seaborn-3069	464968
swebench-verified	mwaskom__seaborn-3187	471975
swebench-verified	pytest-dev__pytest-7205	505203
swebench-verified	pytest-dev__pytest-7236	506797
swebench-verified	pytest-dev__pytest-7324	526154
swebench-verified	pytest-dev__pytest-7490	540746
swebench-verified	pytest-dev__pytest-7521	541500
swebench-verified	pytest-dev__pytest-7432	542000
swebench-verified	pytest-dev__pytest-7571	542335
swebench-verified	pytest-dev__pytest-7982	550049
swebench-verified	pylint-dev__pylint-4551	551484
swebench-verified	pylint-dev__pylint-4604	553254
swebench-verified	pylint-dev__pylint-4661	568213
swebench-verified	pytest-dev__pytest-8399	577265
swebench-verified	pylint-dev__pylint-4970	579706
swebench-verified	pytest-dev__pytest-10051	604725
swebench-verified	pytest-dev__pytest-10081	604735
swebench-verified	pytest-dev__pytest-10356	608907
swebench-verified	pydata__xarray-3151	615416
swebench-verified	pydata__xarray-3095	616673
swebench-verified	pydata__xarray-3305	646203
swebench-verified	pylint-dev__pylint-6386	683640
swebench-verified	pylint-dev__pylint-6528	701559
swebench-verified	pydata__xarray-3677	722835
swebench-verified	pylint-dev__pylint-6903	729653
swebench-verified	pylint-dev__pylint-7080	741847
swebench-verified	pylint-dev__pylint-7277	749037
swebench-verified	pydata__xarray-4075	763296
swebench-verified	pydata__xarray-4094	772355
swebench-verified	pydata__xarray-4356	799875
swebench-verified	pylint-dev__pylint-8898	804609
swebench-verified	pydata__xarray-4629	825654
swebench-verified	pydata__xarray-4695	827225
swebench-verified	pydata__xarray-3993	838393
swebench-verified	pydata__xarray-2905	846360
swebench-verified	pydata__xarray-4966	852460
swebench-verified	pydata__xarray-4687	1035923
swebench-verified	pydata__xarray-6461	1086205
swebench-verified	pydata__xarray-6599	1090615
swebench-verified	pydata__xarray-6721	1118160
swebench-verified	sphinx-doc__sphinx-11445	1123558
swebench-verified	pydata__xarray-6744	1125510
swebench-verified	pydata__xarray-6938	1131606
swebench-verified	pydata__xarray-6992	1136555
swebench-verified	sphinx-doc__sphinx-10614	1145315
swebench-verified	sphinx-doc__sphinx-11510	1151922
swebench-verified	pydata__xarray-7233	1199118
swebench-verified	pydata__xarray-7229	1208195
swebench-verified	pydata__xarray-7393	1213512
swebench-verified	sphinx-doc__sphinx-9229	1231920
swebench-verified	sphinx-doc__sphinx-9230	1233086
