benchmark	instance	tokens
swebench-xl	huggingface__transformers-44899	14805310
swebench-xl	huggingface__transformers-43227	14817367
swebench-xl	huggingface__transformers-43523	14853583
swebench-xl	huggingface__transformers-45019	14869172
swebench-xl	huggingface__transformers-44146	14891090
swebench-xl	huggingface__transformers-44487	14993878
swebench-xl	huggingface__transformers-42136	15000374
swebench-xl	huggingface__transformers-43495	15034520
swebench-xl	huggingface__transformers-44474	15043378
swebench-xl	huggingface__transformers-44570	15065019
swebench-xl	huggingface__transformers-43877	15087737
swebench-xl	huggingface__transformers-43928	15094713
swebench-xl	huggingface__transformers-43721	15101740
swebench-xl	huggingface__transformers-43047	15123101
swebench-xl	huggingface__transformers-45348	15131270
swebench-xl	huggingface__transformers-43917	15146522
swebench-xl	huggingface__transformers-44080	15148425
swebench-xl	huggingface__transformers-44081	15148425
swebench-xl	huggingface__transformers-45432	15187669
swebench-xl	huggingface__transformers-45448	15202510
swebench-xl	huggingface__transformers-44915	15202943
swebench-xl	huggingface__transformers-45473	15202998
swebench-xl	huggingface__transformers-45394	15203146
swebench-xl	huggingface__transformers-45514	15224093
swebench-xl	huggingface__transformers-45596	15247171
swebench-xl	huggingface__transformers-45433	15248857
swebench-xl	huggingface__transformers-45601	15250574
swebench-xl	huggingface__transformers-45619	15251087
swebench-xl	huggingface__transformers-45606	15252866
swebench-xl	huggingface__transformers-45540	15253364
swebench-xl	huggingface__transformers-45642	15253364
swebench-xl	huggingface__transformers-42227	15253380
swebench-xl	huggingface__transformers-45184	15254078
swebench-xl	huggingface__transformers-45425	15259729
swebench-xl	huggingface__transformers-45513	15259803
swebench-xl	huggingface__transformers-45680	15348839
swebench-xl	huggingface__transformers-44406	15386900
swebench-xl	huggingface__transformers-45040	15393055
swebench-xl	huggingface__transformers-45741	15435093
swebench-xl	huggingface__transformers-44397	15442698
swebench-xl	huggingface__transformers-45770	15510440
swebench-xl	huggingface__transformers-45568	15512054
swebench-xl	huggingface__transformers-45477	15551406
swebench-xl	huggingface__transformers-45844	15620017
swebench-xl	microsoft__typescript-62013	43390683
swebench-xl	microsoft__typescript-60569	43390683
swebench-xl	microsoft__typescript-63084	43390683
swebench-xl	microsoft__typescript-56713	43407486
swebench-xl	microsoft__typescript-60516	43407486
swebench-xl	microsoft__typescript-62628	43594896
swebench-xl	microsoft__typescript-63137	43665438
swebench-xl	microsoft__typescript-63142	43665438
swebench-xl	microsoft__typescript-63154	43665556
swebench-xl	microsoft__typescript-63163	43701492
swebench-xl	microsoft__typescript-63172	43701492
swebench-xl	microsoft__typescript-63190	43701492
swebench-xl	microsoft__typescript-63200	43701576
swebench-xl	microsoft__typescript-63239	43705068
swebench-xl	microsoft__typescript-63310	43705114
swebench-xl	microsoft__typescript-63368	43705723
swebench-xl	microsoft__typescript-63344	43705731
swebench-xl	microsoft__typescript-63341	43705731
swebench-xl	microsoft__typescript-63401	43705780
swebench-xl	elastic__elasticsearch-137744	43857031
swebench-xl	elastic__elasticsearch-140099	43858372
swebench-xl	elastic__elasticsearch-140138	43870570
swebench-xl	elastic__elasticsearch-140227	43902309
swebench-xl	elastic__elasticsearch-140094	43913197
swebench-xl	elastic__elasticsearch-140394	43959050
swebench-xl	elastic__elasticsearch-139873	43968742
swebench-xl	elastic__elasticsearch-140594	44068395
swebench-xl	microsoft__typescript-62275	44153594
swebench-xl	elastic__elasticsearch-135899	44162175
swebench-xl	elastic__elasticsearch-140027	44221910
swebench-xl	microsoft__typescript-62894	44275098
swebench-xl	microsoft__typescript-60528	44275340
swebench-xl	microsoft__typescript-61376	44275340
swebench-xl	elastic__elasticsearch-141157	44275364
swebench-xl	microsoft__typescript-62789	44275695
swebench-xl	elastic__elasticsearch-141242	44280524
swebench-xl	elastic__elasticsearch-141371	44351158
swebench-xl	elastic__elasticsearch-141196	44354190
swebench-xl	microsoft__typescript-63043	44391690
swebench-xl	microsoft__typescript-63038	44391690
swebench-xl	microsoft__typescript-63055	44393841
swebench-xl	elastic__elasticsearch-141479	44408182
swebench-xl	microsoft__typescript-62418	44419985
swebench-xl	microsoft__typescript-63075	44425774
swebench-xl	microsoft__typescript-63076	44425774
swebench-xl	microsoft__typescript-63026	44426519
swebench-xl	microsoft__typescript-63081	44428534
swebench-xl	elastic__elasticsearch-141519	44448913
swebench-xl	microsoft__typescript-63070	44449554
swebench-xl	microsoft__typescript-61534	44449554
swebench-xl	elastic__elasticsearch-141482	44453329
swebench-xl	microsoft__typescript-63095	44512172
swebench-xl	elastic__elasticsearch-141523	44568708
swebench-xl	elastic__elasticsearch-141503	44601955
swebench-xl	elastic__elasticsearch-141592	44603293
swebench-xl	elastic__elasticsearch-141815	44604310
swebench-xl	elastic__elasticsearch-141973	44649154
swebench-xl	elastic__elasticsearch-141811	44686777
swebench-xl	elastic__elasticsearch-141619	44735736
swebench-xl	elastic__elasticsearch-142328	44801247
swebench-xl	elastic__elasticsearch-142330	44815618
swebench-xl	elastic__elasticsearch-142450	44895112
swebench-xl	elastic__elasticsearch-142117	44911908
swebench-xl	elastic__elasticsearch-142752	45302227
swebench-xl	elastic__elasticsearch-142386	45411850
swebench-xl	elastic__elasticsearch-142882	45445613
swebench-xl	elastic__elasticsearch-142937	45447520
swebench-xl	elastic__elasticsearch-142401	45486147
swebench-xl	elastic__elasticsearch-142489	45524214
swebench-xl	elastic__elasticsearch-143155	45809276
swebench-xl	elastic__elasticsearch-143241	45828049
swebench-xl	elastic__elasticsearch-143153	45831995
swebench-xl	elastic__elasticsearch-140982	45914608
swebench-xl	elastic__elasticsearch-143249	45944986
swebench-xl	elastic__elasticsearch-143463	45951240
swebench-xl	elastic__elasticsearch-143408	45963766
swebench-xl	elastic__elasticsearch-143533	45977671
swebench-xl	elastic__elasticsearch-143489	46042567
swebench-xl	elastic__elasticsearch-143710	46138795
swebench-xl	elastic__elasticsearch-140217	46153487
swebench-xl	elastic__elasticsearch-143668	46319495
swebench-xl	elastic__elasticsearch-143893	46339460
swebench-xl	elastic__elasticsearch-143938	46564805
swebench-xl	elastic__elasticsearch-144040	46574934
swebench-xl	elastic__elasticsearch-144029	46579036
swebench-xl	elastic__elasticsearch-142763	46579036
swebench-xl	elastic__elasticsearch-144031	46596898
swebench-xl	elastic__elasticsearch-144183	46647721
swebench-xl	elastic__elasticsearch-144308	46648134
swebench-xl	elastic__elasticsearch-144388	46747585
swebench-xl	elastic__elasticsearch-143810	46765930
swebench-xl	elastic__elasticsearch-144545	46866127
swebench-xl	elastic__elasticsearch-144588	46897033
swebench-xl	microsoft__typescript-63246	48253404
swebench-xl	microsoft__typescript-63327	48253490
swebench-xl	microsoft__typescript-63372	48254107
swebench-xl	microsoft__typescript-63407	48254164
swebench-xl	microsoft__vscode-298772	79659081
swebench-xl	microsoft__vscode-302160	82129137
swebench-xl	microsoft__vscode-302633	82549538
swebench-xl	microsoft__vscode-304281	83357162
swebench-xl	microsoft__vscode-308000	85482885
swebench-xl	microsoft__vscode-314281	127758349
swebench-xl	microsoft__vscode-314245	128401497
swebench-xl	microsoft__vscode-315245	128644556
swebench-xl	microsoft__vscode-315442	128924583
swebench-xl	microsoft__vscode-315324	128929815
swebench-xl	microsoft__vscode-314332	128930669
swebench-xl	microsoft__vscode-315413	128935474
swebench-xl	microsoft__vscode-300613	128949823
swebench-xl	microsoft__vscode-315468	128953701
swebench-xl	microsoft__vscode-315488	128953949
swebench-xl	microsoft__vscode-315490	128958000
swebench-xl	microsoft__vscode-315491	128958000
swebench-xl	microsoft__vscode-315523	128990612
swebench-xl	microsoft__vscode-315542	128991901
swebench-xl	microsoft__vscode-315556	128993137
swebench-xl	microsoft__vscode-315579	129006167
swebench-xl	microsoft__vscode-315552	129006167
swebench-xl	microsoft__vscode-315475	129006167
swebench-xl	microsoft__vscode-315562	129056161
swebench-xl	microsoft__vscode-315625	129096875
swebench-xl	microsoft__vscode-315626	129096875
swebench-xl	microsoft__vscode-315638	129105625
swebench-xl	microsoft__vscode-315640	129105625
swebench-xl	microsoft__vscode-288335	130552278
swebench-xl	microsoft__vscode-292378	133157645
swebench-xl	microsoft__vscode-295139	135315707
swebench-xl	microsoft__vscode-297020	138432825
swebench-xl	microsoft__vscode-298829	140334062
swebench-xl	microsoft__vscode-300237	141958176
swebench-xl	microsoft__vscode-301740	143632526
swebench-xl	microsoft__vscode-305782	147879282
swebench-xl	microsoft__vscode-305859	147932360
swebench-xl	microsoft__vscode-306184	148161933
swebench-xl	microsoft__vscode-306139	148194506
