instance_id: elastic__elasticsearch-140693
repo: elastic/elasticsearch
version: 9.4.0
base_commit: ad866649260c6a9fbf73c2a016cd4b91f687b6e1
pr_number: 140693

FAIL_TO_PASS:
  - org.elasticsearch.simdvec.ESVectorUtilTests

PASS_TO_PASS:
  - org.elasticsearch.simdvec.ESVectorUtilTests::testPackDibitCorrectness
  - org.elasticsearch.simdvec.ESVectorUtilTests::testIpByteBinInvariants
  - org.elasticsearch.simdvec.ESVectorUtilTests::testBitAndCount
  - org.elasticsearch.simdvec.ESVectorUtilTests::testPackAsBinaryDuel
  - org.elasticsearch.simdvec.ESVectorUtilTests::testSquareDistanceBulk
  - org.elasticsearch.simdvec.ESVectorUtilTests::testPackAsBinaryCorrectness
  - org.elasticsearch.simdvec.ESVectorUtilTests::testCodePointCountSimple
  - org.elasticsearch.simdvec.ESVectorUtilTests::testSoarDistanceBulk
  - org.elasticsearch.simdvec.ESVectorUtilTests::testCenterAndCalculateOSQStatsDp
  - org.elasticsearch.simdvec.ESVectorUtilTests::testIntegerTransposeHalfByte
  - org.elasticsearch.simdvec.ESVectorUtilTests::testIpByteBin
  - org.elasticsearch.simdvec.ESVectorUtilTests::testIndexOfRandom
  - org.elasticsearch.simdvec.ESVectorUtilTests::testSoarDistance
  - org.elasticsearch.simdvec.ESVectorUtilTests::testCenterAndCalculateOSQStatsEuclidean
  - org.elasticsearch.simdvec.ESVectorUtilTests::testIndexOfSimple
  - org.elasticsearch.simdvec.ESVectorUtilTests::testCodePointCountRandom
  - org.elasticsearch.simdvec.ESVectorUtilTests::testTransposeHalfByte
  - org.elasticsearch.simdvec.ESVectorUtilTests::testPackAsBinary
  - org.elasticsearch.simdvec.ESVectorUtilTests::testPackAsDibit
  - org.elasticsearch.simdvec.ESVectorUtilTests::testIpByteBit
  - org.elasticsearch.simdvec.ESVectorUtilTests::testIndexOfBounds
  - org.elasticsearch.simdvec.ESVectorUtilTests::testBasicIpByteBin
  - org.elasticsearch.simdvec.ESVectorUtilTests::testOsqGridPoints
  - org.elasticsearch.simdvec.ESVectorUtilTests::testQuantizeVectorWithIntervals
  - org.elasticsearch.simdvec.ESVectorUtilTests::testIpFloatByte
  - org.elasticsearch.simdvec.ESVectorUtilTests::testIpFloatBit
  - org.elasticsearch.simdvec.ESVectorUtilTests::testOsqLoss
