instance_id: elastic__elasticsearch-138112
repo: elastic/elasticsearch
version: 9.3.0
base_commit: 6e29516862a3908800148e35a27e74e4c4c6c98f
pr_number: 138112

FAIL_TO_PASS:
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests
  - org.elasticsearch.xpack.esql.optimizer.OptimizerVerificationTests

PASS_TO_PASS:
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests::testFoldCompletionFunctionWithNullInput
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests::testFoldWithNullOutputPage
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests::testFoldWithNonFoldableFunction
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests::testFoldCompletionFunction
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests::testFoldTextEmbeddingFunction
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests::testFoldWithAsyncFailure
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests::testFoldWithUnsupportedFunction
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests::testFoldTextEmbeddingFunctionWithNullInput
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests::testFoldCompletionFunctionWithNonFoldablePrompt
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests::testFoldCompletionFunctionWithAsyncFailure
  - org.elasticsearch.xpack.esql.inference.InferenceFunctionEvaluatorTests::testFoldCompletionFunctionWithNullOutputPage
  - org.elasticsearch.xpack.esql.optimizer.OptimizerVerificationTests::testDanglingOrderByInInlineStats
  - org.elasticsearch.xpack.esql.optimizer.OptimizerVerificationTests::testRemoteEnrichAfterCoordinatorOnlyPlans
  - org.elasticsearch.xpack.esql.optimizer.OptimizerVerificationTests::testRemoteEnrichAfterLookupJoinWithPipelineBreaker
  - org.elasticsearch.xpack.esql.optimizer.OptimizerVerificationTests::testRemoteLookupJoinWithPipelineBreaker
  - org.elasticsearch.xpack.esql.optimizer.OptimizerVerificationTests::testRemoteEnrichAfterLookupJoin
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testLookupMatchTypeWrong
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testNamedParamsForIdentifierPatterns
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testDateFormatOnFloat
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testRenameUnsupportedSubFieldAndResolved
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testUnsupportedFieldUsedExplicitly2
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testChainedEvalFieldsUse
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testResolveCompletionTargetField
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testBacktickPlusPattern
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testUnsupportedDeepHierarchy
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testProjectBasic
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testMultipleSubqueryInFromWithoutMainIndexPattern
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testCounterTypes
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testUnsupportedFieldUsedExplicitly
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testFoldableInAggregateWithGrouping
  - org.elasticsearch.xpack.esql.analysis.AnalyzerTests::testResolveInsist_fieldDoesNotExist_createsUnmappedField
