agent,benchmark,instance_id,resolved,source_code_files,source_code_tokens,write_recall,write_precision,read_recall,read_precision,total_operations,total_reads,total_writes,unique_files_read,unique_files_written,unique_dirs,max_depth,first_write_at,reread_rate,churn_rate,conversion_rate,first_correct_read,first_correct_write,subagent_count
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-135899,False,26817,44266777,0.0,0.0,0.0,0.0,23,6,2,5,2,20,9,10,0.1667,0.0,0.0,,,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-137744,True,26691,43858044,0.25,0.5,0.5,0.3333,26,13,4,6,2,36,14,16,0.5385,0.5,0.5,0,16,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-139873,False,26754,44029119,0.5556,0.625,0.8889,0.3478,114,57,13,23,8,34,12,71,0.5965,0.3846,0.625,8,73,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140027,True,26797,44221907,1.0,0.5,1.0,0.0714,147,54,6,28,4,59,14,27,0.4815,0.3333,1.0,86,99,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140094,False,26720,43914619,0.3333,0.25,0.3333,0.0909,132,75,6,11,4,28,10,107,0.8533,0.3333,1.0,5,107,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140099,True,26691,43858369,0.5,0.75,0.6667,0.1667,135,76,8,24,4,36,14,58,0.6842,0.5,0.75,20,108,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140138,True,26699,43872042,1.0,1.0,1.0,0.25,20,7,1,4,1,22,13,12,0.4286,0.0,1.0,0,12,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140217,True,27951,46158417,0.3333,0.5,0.5,0.2308,59,29,8,13,4,33,13,23,0.5517,0.5,0.6667,6,23,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140227,True,26713,43902307,1.0,0.5,1.0,0.0213,165,91,4,47,2,67,14,154,0.4835,0.5,1.0,141,154,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140394,False,26745,43965258,1.0,0.5,1.0,0.3333,105,57,17,6,4,20,8,73,0.8947,0.7647,1.0,5,77,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140594,True,26766,44089886,0.1538,0.6667,0.3846,0.4167,55,25,10,12,3,27,13,17,0.52,0.7,0.4,2,17,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140982,False,27797,45917188,1.0,0.1429,1.0,0.0556,160,94,20,18,7,27,13,68,0.8085,0.65,1.0,8,68,2
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141157,True,26820,44279912,0.5,0.3333,0.5,0.0833,82,44,5,12,3,36,14,73,0.7273,0.4,1.0,4,73,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141196,False,26855,44354604,0.5,0.5,0.5,0.0667,97,50,6,15,2,39,13,29,0.7,0.6667,1.0,0,29,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141242,True,26875,44413358,0.5,0.25,1.0,0.0385,229,124,8,52,4,106,15,39,0.5806,0.5,0.5,135,217,2
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141371,False,26868,44390078,0.5,0.3333,1.0,0.1667,102,58,4,12,3,23,12,53,0.7931,0.25,0.5,3,54,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141479,True,26875,44413580,1.0,1.0,1.0,0.1429,24,10,2,7,1,31,11,14,0.3,0.5,1.0,3,14,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141482,False,26981,44588171,0.0,0.0,0.0,0.0,255,126,8,34,5,88,14,140,0.7302,0.375,0.0,,,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141503,False,26987,44601951,0.5,0.5,0.5,0.3333,41,19,4,3,2,19,12,9,0.8421,0.5,1.0,1,9,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141519,True,26897,44450565,0.5,1.0,1.0,0.6667,7,4,1,3,1,21,12,5,0.25,0.0,0.5,0,5,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141523,False,26977,44576960,0.3333,0.5,0.6667,0.1818,74,36,4,11,2,22,13,23,0.6944,0.5,0.5,0,23,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141592,False,26987,44611136,1.0,0.25,1.0,0.0833,78,34,12,12,4,30,13,24,0.6471,0.6667,1.0,32,38,0
